trial,width,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,10,12,8.889801979064941,1.4816336631774902,0.6265229108579617,5.149878025054932,[ 5.14987803 10.02197003 16.86995411 19.03772712 23.95773482 28.14985609],[ 6.88326311 11.08327007 17.683393   21.45928502 24.76334906 30.20436192],"[1.7333850860595703, 1.0613000392913818, 0.813438892364502, 2.421557903289795, 0.8056142330169678, 2.0545058250427246]"
2,1,14,8.790803670883179,1.255829095840454,0.5771196584730685,2.3988277912139893,"[ 2.39882779  5.69487476 11.47895193 14.57533073 19.21507263 24.10298586
 25.95091772]","[ 2.94047594  7.97233987 12.40458703 16.39645982 20.67651582 25.10075068
 26.71663594]","[0.5416481494903564, 2.2774651050567627, 0.9256350994110107, 1.8211290836334229, 1.4614431858062744, 0.9977648258209229, 0.7657182216644287]"
3,1,14,6.662931203842163,0.9518473148345947,0.6854927823288974,3.823240041732788,"[ 3.82324004 10.81535697 18.42347908 19.48705578 21.29547811 23.71924782
 26.23927593]","[ 4.42868996 11.90079594 18.84482408 19.70887303 21.77291393 25.31697798
 28.49299002]","[0.605449914932251, 1.0854389667510986, 0.4213449954986572, 0.2218172550201416, 0.477435827255249, 1.5977301597595215, 2.253714084625244]"
4,1,16,11.388247966766357,1.4235309958457947,1.1833527563960542,3.6950340270996094,"[ 3.69503403  6.47879696  7.69468617  8.56680489 12.63116407 22.27128696
 24.88705301 27.50303912]","[ 4.70019412  7.26844096  7.89250708  9.30848503 16.58045101 23.17252493
 25.90872908 30.28478098]","[1.0051600933074951, 0.7896440029144287, 0.19782090187072754, 0.7416801452636719, 3.949286937713623, 0.901237964630127, 1.0216760635375977, 2.7817418575286865]"
5,10,16,6.507792234420776,0.813474029302597,0.7970403812986612,4.423208951950073,"[ 4.42320895  8.26303005 11.40703297 13.88739109 16.07898998 19.67126107
 22.81540012 27.32753825]","[ 4.82858324  9.04455495 12.30062318 14.34067297 16.6127491  20.10878801
 22.97280097 30.1728723 ]","[0.40537428855895996, 0.7815248966217041, 0.8935902118682861, 0.45328187942504883, 0.5337591171264648, 0.4375269412994385, 0.15740084648132324, 2.845334053039551]"
6,20,12,6.025236129760742,1.0042060216267903,0.42491029449794904,4.311192750930786,[ 4.31119275  7.55884004 11.27897096 14.27090788 25.81541896 28.96697593],[ 4.85246992  8.54854512 11.98859286 16.07662582 27.06863999 29.69266891],"[0.5412771701812744, 0.9897050857543945, 0.7096219062805176, 1.805717945098877, 1.253221035003662, 0.7256929874420166]"
7,20,10,5.1314074993133545,1.0262814998626708,0.5645651289547213,7.951073884963989,[ 7.95107388 10.08681393 14.63099384 23.43151188 26.53537893],[ 8.86850977 11.10856175 15.32444286 23.85280776 28.61285782],"[0.917435884475708, 1.0217478275299072, 0.6934490203857422, 0.4212958812713623, 2.0774788856506348]"
8,10,12,5.601880311965942,0.9336467186609904,1.0478639955834457,4.854684829711914,[ 4.85468483  7.12662983 10.07865477 15.32670999 23.63127804 25.49501371],[ 5.1723628   7.90834188 10.44436598 16.03656983 23.82869601 28.72451496],"[0.31767797470092773, 0.7817120552062988, 0.3657112121582031, 0.7098598480224609, 0.1974179744720459, 3.229501247406006]"
9,10,14,4.767035961151123,0.6810051373073033,0.5319359454970043,2.630995035171509,"[ 2.63099504  3.84687114  5.20695615  8.19890618 14.4631958  20.6796999
 28.25556397]","[ 3.22047305  3.99668002  5.80452394 10.07676911 14.97284102 21.49289393
 28.48504305]","[0.5894780158996582, 0.1498088836669922, 0.5975677967071533, 1.8778629302978516, 0.5096452236175537, 0.8131940364837646, 0.22947907447814941]"
10,1,16,9.054595947265625,1.1318244934082031,0.7619636258514851,7.75899600982666,"[ 7.75899601 10.56670094 12.71082497 15.27886486 23.61532712 24.59115505
 26.64689589 29.63905692]","[ 9.25383687 10.78856087 13.52456784 17.86846805 23.86084104 25.74878502
 28.47675204 30.34060597]","[1.4948408603668213, 0.22185993194580078, 0.8137428760528564, 2.5896031856536865, 0.245513916015625, 1.1576299667358398, 1.8298561573028564, 0.7015490531921387]"
11,20,12,4.059531927108765,0.6765886545181274,0.4047137881050086,6.023209095001221,[ 6.0232091  16.52754116 19.05513597 20.82305503 24.11116409 28.35918283],[ 6.78284812 16.75678396 19.35680008 21.26878595 25.03683114 29.75677085],"[0.7596390247344971, 0.22924280166625977, 0.3016641139984131, 0.44573092460632324, 0.9256670475006104, 1.3975880146026611]"
12,1,12,6.697325944900513,1.1162209908167522,0.6605458859577931,2.5350310802459717,[ 2.53503108  4.50275874 12.927279   15.03085303 23.30325699 27.07092404],[ 3.38849998  6.37249398 13.87644291 15.77263308 25.39660788 27.26075101],"[0.8534688949584961, 1.8697352409362793, 0.9491639137268066, 0.7417800426483154, 2.093350887298584, 0.18982696533203125]"
13,20,8,7.367785215377808,1.841946303844452,1.3515044520178752,4.190847873687744,[ 4.19084787  7.76692867 12.39911699 23.67117476],[ 5.49251604  9.50980973 16.40466595 23.9888618 ],"[1.3016681671142578, 1.7428810596466064, 4.00554895401001, 0.3176870346069336]"
14,20,6,2.8002419471740723,0.9334139823913574,1.1032793641380145,10.199061155319214,[10.19906116 16.75942612 30.51928926],[12.692415   16.94077635 30.64482713],"[2.493353843688965, 0.1813502311706543, 0.12553787231445312]"
15,10,12,6.601414680480957,1.1002357800801594,0.9241602987493118,9.887207269668579,[ 9.88720727 11.43086219 14.63093209 17.39096713 19.04693627 29.26319718],[10.04454303 12.748523   15.05251217 18.06067514 22.02865529 30.31660819],"[0.15733575820922852, 1.3176608085632324, 0.42158007621765137, 0.6697080135345459, 2.9817190170288086, 1.0534110069274902]"
